DK's(keep),TSid,createdBy,dataSetName,siteName,countryOcean,lat,lon,elevation,pub1_doi,pub2_doi,originalDataUrl,archiveType,proxy,proxyDetail,calibration_method,calibration_seasonality,paleoDataNotes,variableName,units,datum,climateVariable,climateVariableDetail,seasonality,seasonGeneral,meanHoloceneValue,direction,minYear,maxYear,medianHoloceneResolution,agesPerKyr,inCompilation,useInGlobalHolocene,QC Certification,QC comments,link to lipdverse,Remaining issues,last updated
,LPD5eec1767dp,matlab,Holzmaar.Luke.,LakeHolzmaar,,50.12,6.88,,10.1016/S0277-3791(02)00187-8,,,LakeSediment,,,,,,d13C,,,,,,,-31.04344023,,419,9986,11,0,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/Holzmaar.Luke..html,,before July 15
,GH0b6c7700,matlab,HomesteadScarp.McGlone.2010,HomesteadScarp,,-52.5,169.1,,10.1038/ngeo931,,,Peat,,,,,,Pollen_T,degC,,,,,,8.864239521,,-39,12246.9,52.82,0,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HomesteadScarp.McGlone.2010.html,,before July 15
,PYTTN37MLUC,matlab,honeymoon.Cwynar.1991,Honeymoon,,64.6333,-138.4,1160,10.2307/1938915,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,LakeSediment,pollen,,,,,precipitation,mm/yr,,M,precip@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,136.2253099,positive,17,10795,116.5,1.855631843,,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/honeymoon.Cwynar.1991.html,,before July 15
,GH5cff2309,matlab,Hongyuan.Yu.2006,HovsgolNuur,,32.7667,102.5167,3527,10.1007/s11430-006-0615-y,,,Peat,greyscale,,,,,greyscale,percent,,M,monsoon,Summer,,59.9672265,positive,70,11540,20,0,,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/Hongyuan.Yu.2006.html,,before July 15
,GH16e7637f,matlab,Hongyuan.Yu.2006,HovsgolNuur,,32.7667,102.5167,3527,10.1007/s11430-006-0615-y,,,Peat,peat ash,,,,,ash,percent,,M,,winter,,21.77272727,positive,70,11540,20,0,,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/Hongyuan.Yu.2006.html,,before July 15
,GH28d0af42,matlab,Hongyuan.Yu.2006,HovsgolNuur,,32.7667,102.5167,3527,10.1007/s11430-006-0615-y,,,Peat,humification,,,,,HIndex,,,M,monsoon,Summer,,0.3268567026,positive,70,11540,20,0,,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/Hongyuan.Yu.2006.html,,before July 15
,GHae9e3b57,matlab,Hovsgol.Chen.2008,HovsgolNuur,,51,101.2,1645,10.1016/j.quascirev.2007.10.017,,,LakeSediment,hybrid,,,,"Composited into a relative moisture index by Wang et al., 2008",HovsgolNuur,,,M,,not specified,,2.085972851,positive,0,11000,50,0,,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/Hovsgol.Chen.2008.html,,before July 15
,PYTCXVB1G0W,matlab,HU84.deVernal.2013,HU84,,58.3677,-57.507,-2853,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,,,,,,salinity,psu,,S,SSS,Summer,,33.61192683,,1968.1,8296.5,138.9,1.264142595,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HU84.deVernal.2013.html,,before July 15
,PYT4N3LKU0B,matlab,HU84.deVernal.2013,HU84,,58.3677,-57.507,-2853,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,dinocyst,,,,,Sea_Ice_months,months/year,,ICE,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,1.370317073,positive,1968.1,8296.5,138.9,1.264142595,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HU84.deVernal.2013.html,,before July 15
,PYTEQGFAHNH,matlab,HU84.deVernal.2013,HU84,,58.3677,-57.507,-2853,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,,,,,,Sea_Ice_conc,0-10,,ICE,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,1.13104878,,1968.1,8296.5,138.9,1.264142595,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HU84.deVernal.2013.html,,before July 15
